Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
T_int [ms],60 * 1000.000,60 * 1000.000,60 * 1000.000,1 * 777.700,4 * 161.840,4 * 117.080,5 * 88.760,5 * 73.490,5 * 60.970,5 * 52.890,8 * 45.900,8 * 40.860,8 * 36.850,8 * 33.380,8 * 31.550,8 * 28.790,8 * 26.880,8 * 25.060,8 * 23.330,8 * 22.120,8 * 20.690,8 * 19.870,8 * 19.430
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
399,0.00000E+00,0.00000E+00,0.00000E+00,1.78060E-08,4.27822E-08,5.91380E-08,0.00000E+00,2.07246E-07,0.00000E+00,2.87965E-07,3.46926E-06,3.72748E-07,0.00000E+00,2.07426E-07,9.34771E-06,6.87726E-06,8.55135E-06,7.29313E-06,4.74848E-06,0.00000E+00,0.00000E+00,0.00000E+00,1.24000E-05
400,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.41534E-07,2.08600E-07,0.00000E+00,2.89847E-07,4.27003E-06,3.75184E-07,0.00000E+00,0.00000E+00,1.17325E-05,7.35855E-06,6.45970E-06,7.34079E-06,0.00000E+00,1.70378E-06,0.00000E+00,0.00000E+00,1.13035E-05
401,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.19427E-07,3.00674E-08,0.00000E+00,4.17783E-08,7.94591E-06,5.40787E-08,0.00000E+00,0.00000E+00,1.01105E-05,2.29086E-06,9.49561E-06,1.05809E-06,0.00000E+00,5.04905E-06,0.00000E+00,0.00000E+00,1.34777E-05
402,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,5.93668E-08,0.00000E+00,3.27151E-07,2.61476E-07,0.00000E+00,0.00000E+00,7.78928E-06,0.00000E+00,0.00000E+00,0.00000E+00,6.75058E-06,6.74888E-07,8.63030E-06,0.00000E+00,0.00000E+00,1.04536E-05,0.00000E+00,5.80247E-06,1.58953E-05
403,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.10442E-07,1.53598E-08,1.81114E-07,4.61962E-07,5.89905E-08,3.40012E-08,6.61761E-06,0.00000E+00,0.00000E+00,0.00000E+00,3.79470E-06,0.00000E+00,6.91308E-06,9.32891E-07,0.00000E+00,1.44635E-05,0.00000E+00,1.07945E-05,1.59050E-05
404,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.01360E-07,9.86514E-08,5.46875E-08,2.89267E-07,3.78878E-07,2.18380E-07,3.91664E-06,0.00000E+00,0.00000E+00,0.00000E+00,2.54133E-06,0.00000E+00,4.13487E-06,5.99168E-06,0.00000E+00,1.28266E-05,0.00000E+00,9.90689E-06,5.93553E-06
405,0.00000E+00,0.00000E+00,0.00000E+00,4.27215E-08,4.47226E-07,8.61438E-07,1.06948E-07,1.45277E-07,3.50218E-07,2.01860E-07,2.37784E-06,1.16161E-07,0.00000E+00,9.95341E-07,3.00841E-06,1.64861E-07,4.45800E-06,9.32643E-06,2.03444E-07,1.20675E-05,2.75284E-06,9.79193E-06,4.03032E-06
406,0.00000E+00,0.00000E+00,0.00000E+00,1.21218E-07,1.08985E-06,2.19667E-06,3.03455E-07,1.77775E-08,4.28562E-08,2.47017E-08,1.69474E-06,3.29597E-07,0.00000E+00,2.82419E-06,4.86107E-06,4.67779E-07,7.25726E-06,1.14258E-05,5.77255E-07,1.19630E-05,7.81093E-06,1.02778E-05,8.45194E-06
407,0.00000E+00,0.00000E+00,7.43804E-09,9.81076E-07,9.29170E-07,2.02380E-06,8.27903E-07,0.00000E+00,0.00000E+00,1.26569E-06,2.86809E-06,1.44534E-06,3.43139E-06,1.46589E-06,5.26620E-06,5.40990E-06,6.68457E-06,5.87558E-06,4.44426E-06,9.05081E-06,8.36824E-06,1.50322E-05,8.91090E-06
408,0.00000E+00,0.00000E+00,1.24323E-08,1.53466E-06,6.66686E-07,1.58751E-06,1.12054E-06,4.59259E-08,0.00000E+00,2.37080E-06,4.10939E-06,3.07978E-06,5.82700E-06,1.01111E-06,5.37048E-06,8.81242E-06,6.28047E-06,2.44897E-06,8.08492E-06,6.38331E-06,8.59722E-06,1.83373E-05,9.15473E-06
