Lv [cd/sqm] (CIE1931 2°),1.318E-06,5.364E-04,4.363E-08,1.544E+00,6.347E+00,8.763E+00,1.140E+01,1.390E+01,1.642E+01,1.931E+01,2.182E+01,2.431E+01,2.711E+01,2.964E+01,3.224E+01,3.495E+01,3.761E+01,4.018E+01,4.294E+01,4.543E+01,4.788E+01,5.041E+01,5.100E+01
Le [W/(sr*sqm)] (380-780nm),1.733E-08,1.742E-06,4.211E-08,1.236E-02,5.328E-02,7.222E-02,9.288E-02,1.126E-01,1.325E-01,1.553E-01,1.749E-01,1.947E-01,2.168E-01,2.366E-01,2.573E-01,2.784E-01,2.993E-01,3.195E-01,3.410E-01,3.606E-01,3.802E-01,3.997E-01,4.026E-01
CCT [K] (CIE1964 10°),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWl [nm] (CIE1964 10°),649.2,493.0,419.2,480.3,479.3,479.7,479.9,480.0,480.1,480.2,480.3,480.3,480.3,480.4,480.4,480.4,480.4,480.5,480.5,480.5,480.5,480.5,480.7
,,,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord. (CIE1964 10°),,,,,,,,,,,,,,,,,,,,,,,
396,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.20526E-07,5.26899E-07,1.50513E-08,2.59075E-07,0.00000E+00,1.66720E-07,3.69209E-07,2.74655E-06,0.00000E+00,2.49363E-07,2.61128E-07,3.96899E-08,0.00000E+00,0.00000E+00,2.29826E-06,0.00000E+00,3.75098E-07,7.26424E-07
397,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.06142E-06,7.19841E-07,1.12410E-07,1.44352E-07,0.00000E+00,9.28935E-08,5.87547E-07,1.35796E-06,0.00000E+00,1.38941E-07,1.45496E-07,0.00000E+00,0.00000E+00,1.61931E-07,3.66906E-06,0.00000E+00,2.08998E-07,1.93760E-07
398,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.82950E-06,1.31291E-06,2.05024E-07,0.00000E+00,0.00000E+00,0.00000E+00,9.37006E-07,0.00000E+00,1.98041E-08,2.16658E-07,0.00000E+00,2.49032E-08,0.00000E+00,2.95346E-07,5.67314E-06,0.00000E+00,0.00000E+00,3.85954E-07
399,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.56095E-06,4.43119E-07,6.91972E-08,0.00000E+00,0.00000E+00,0.00000E+00,2.17392E-06,0.00000E+00,1.59599E-07,1.74601E-06,0.00000E+00,2.00692E-07,0.00000E+00,9.96815E-08,1.91473E-06,0.00000E+00,0.00000E+00,3.81643E-07
400,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.38309E-06,1.20598E-06,3.13876E-08,0.00000E+00,0.00000E+00,4.81435E-08,4.72356E-06,0.00000E+00,2.26462E-07,1.90144E-06,7.54055E-08,3.67540E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.64083E-07
401,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.43497E-07,3.57384E-06,9.30150E-08,0.00000E+00,0.00000E+00,1.42670E-07,8.49598E-06,0.00000E+00,2.18210E-07,6.80097E-07,2.23459E-07,5.19673E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.80647E-08
402,0.00000E+00,9.60792E-09,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.68510E-06,1.92578E-07,9.72693E-07,0.00000E+00,7.44617E-08,4.77661E-06,8.97098E-08,2.02483E-07,3.32890E-07,2.31968E-07,2.56029E-07,1.31077E-07,0.00000E+00,0.00000E+00,0.00000E+00,1.65682E-07,0.00000E+00
403,0.00000E+00,1.60756E-08,0.00000E+00,1.79833E-09,0.00000E+00,2.43091E-08,1.42547E-06,2.40990E-07,1.62748E-06,1.20782E-08,4.13503E-08,1.26118E-06,1.50099E-07,1.68455E-07,2.87370E-07,1.92985E-07,0.00000E+00,2.19313E-07,2.58901E-08,2.76283E-08,0.00000E+00,2.77214E-07,0.00000E+00
404,0.00000E+00,4.85406E-09,0.00000E+00,1.15501E-08,0.00000E+00,1.56130E-07,7.59160E-07,7.27672E-08,4.91419E-07,7.75748E-08,2.65581E-07,3.08985E-06,4.53227E-08,5.08651E-08,7.17696E-07,5.82720E-08,0.00000E+00,6.62218E-08,1.66284E-07,1.77448E-07,0.00000E+00,8.37051E-08,0.00000E+00
405,0.00000E+00,0.00000E+00,0.00000E+00,1.06764E-08,0.00000E+00,1.76399E-07,3.18861E-07,0.00000E+00,0.00000E+00,7.17066E-08,2.45491E-07,2.62764E-06,2.21585E-07,4.97365E-08,6.11968E-07,0.00000E+00,0.00000E+00,6.47525E-08,1.45202E-06,2.36945E-07,0.00000E+00,0.00000E+00,1.55350E-06
